scorer,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000
bodyparts,Head,Head,Head,Mid,Mid,Mid,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,127.98363494873047,410.94708251953125,0.0789831131696701,145.68862915039062,417.65191650390625,0.017408251762390137,126.43073272705078,409.7295227050781,0.05629746615886688
1,128.1068878173828,411.0587463378906,0.06970323622226715,145.8898468017578,417.9814453125,0.03038530983030796,126.59185791015625,411.2962646484375,0.13518507778644562
2,128.18003845214844,411.1215515136719,0.1268371045589447,145.8898468017578,417.9814453125,0.07592519372701645,126.7987060546875,411.2962646484375,0.1479964554309845
3,128.18003845214844,411.1543273925781,0.06099461391568184,146.0502166748047,417.7774658203125,0.06269144266843796,126.75369262695312,411.434814453125,0.29249292612075806
4,128.23057556152344,411.1673583984375,0.12526735663414001,146.1483154296875,417.65191650390625,0.03741416707634926,126.75369262695312,411.434814453125,0.07850979268550873
5,128.23057556152344,411.1673583984375,0.09759093821048737,146.1483154296875,417.53363037109375,0.05964996665716171,126.75369262695312,411.4073486328125,0.13399599492549896
6,128.23057556152344,411.1834716796875,0.19266872107982635,146.55714416503906,417.4964904785156,0.17816612124443054,126.71114349365234,411.4073486328125,0.3504761755466461
7,128.23057556152344,411.2496643066406,0.15864147245883942,146.55714416503906,417.4964904785156,0.10674750804901123,126.71114349365234,411.4073486328125,0.22531962394714355
8,128.23057556152344,411.2785949707031,0.15460509061813354,146.55714416503906,417.4964904785156,0.14446932077407837,126.71114349365234,411.39959716796875,0.3675895631313324
9,128.35557556152344,411.34033203125,0.10449913889169693,146.3931121826172,417.51116943359375,0.05737961828708649,126.84723663330078,411.4073486328125,0.16903547942638397
10,128.35557556152344,411.34033203125,0.09944842755794525,146.3931121826172,417.62261962890625,0.039047908037900925,126.84723663330078,411.42462158203125,0.08604636788368225
11,128.35557556152344,411.34033203125,0.1183493435382843,146.3931121826172,417.62261962890625,0.0904068648815155,126.84723663330078,411.42462158203125,0.26452410221099854
12,128.31704711914062,411.34033203125,0.11073341220617294,146.3931121826172,417.6315612792969,0.1587992012500763,126.73666381835938,411.4394226074219,0.45746928453445435
13,128.31704711914062,411.3040466308594,0.16311639547348022,146.68345642089844,417.62261962890625,0.16352936625480652,126.73666381835938,411.4394226074219,0.3556053042411804
